q,h1_sensor,h1_serial,h2_sensor,h2_serial,h1_switch,h2_switch
34.0,8.988383309253209,7.38,19.190578064422766,19.63,True,True
34.0,7.877537478744193,8.08,20.102526472462035,19.3,True,True
34.0,7.666976609892384,8.6,20.49666309779217,20.18,True,True
34.0,7.562165997951133,7.82,19.840696035673748,20.56,True,True
34.0,7.748636304522749,7.49,19.96321626902778,19.94,True,True
34.0,6.952353007658554,7.64,19.871425949453407,20.03,True,True
34.0,6.676794237972227,7.39,19.845367656263335,19.94,True,True
34.0,7.539217171870889,6.87,19.768405090381485,19.89,True,True
34.0,6.9109840916827245,7.05,20.063206977995033,19.82,True,True
34.0,6.9985007912962764,7.33,19.690722491244856,20.12,True,True
34.0,7.083300074363063,6.91,21.137410332866793,19.75,True,True
34.0,7.69522063004819,7.3,20.69103787941563,21.13,True,True
34.0,6.539488940146388,7.26,20.971637261773804,20.77,True,True
34.0,7.11406714239122,7.26,20.40551566261624,21.02,True,True
34.0,7.828429187793065,6.73,20.038747756074347,20.46,True,True
34.0,7.110521877060482,7.34,19.86727009631727,20.12,True,True
34.0,7.7805618858734755,7.48,19.07259692499044,19.95,True,True
34.0,7.121677280181345,7.25,20.81033549414287,19.17,True,True
34.0,8.081971873297968,7.78,19.764908518814142,20.82,True,True
34.0,8.41080436850628,7.33,21.74416940480283,19.87,True,True
34.0,7.221658978984333,8.49,20.68710840478983,21.76,True,True
34.0,7.989004478324283,7.69,20.544058916388646,20.81,True,True
34.0,7.100744057527298,7.5,20.65341585046756,20.62,True,True
34.0,7.3646563971914745,7.61,20.914944179411062,20.72,True,True
34.0,6.577098027617067,7.26,21.5693731210456,20.96,True,True
34.0,7.021630963976419,7.17,20.353534819428614,21.59,True,True
34.0,6.837494936044288,6.6,21.656016076510333,20.43,True,True
34.0,8.07658262453838,7.19,20.538334340663535,21.65,True,True
34.0,6.6633772876075605,7.17,21.738304868721332,20.64,True,True
34.0,7.374886590843263,7.67,21.958422016953996,21.76,True,True
34.0,7.786107608365634,7.03,21.375601949600473,21.99,True,True
34.0,7.328364234813482,7.43,21.215637631312365,21.46,True,True
34.0,7.176870241149754,7.55,21.642320255413534,21.29,True,True
34.0,6.952822905920771,7.34,21.847299472063114,21.68,True,True
34.0,7.272600628077775,7.14,21.468558075399077,21.88,True,True
34.0,7.100689130214163,7.04,22.060133186646905,21.53,True,True
34.0,7.605963882245838,7.31,21.594713007539124,22.09,True,True
34.0,7.61837910191824,7.24,22.495599347298885,21.66,True,True
34.0,7.456251141319325,7.74,22.380585774110983,22.52,True,True
34.0,7.861323153026156,7.52,22.05444598055836,22.44,True,True
34.0,7.412124166631405,7.55,21.265683866200813,22.13,True,True
34.0,7.502252327999912,7.52,21.97044643965774,21.36,True,True
34.0,7.030606171583287,7.56,22.279514427919846,22.0,True,True
34.0,7.5732161795680675,7.36,21.522534169246917,22.32,True,True
34.0,7.454977366353597,7.14,23.06746644092974,21.6,True,True
34.0,7.1050071403188,7.77,22.926632587748283,23.06,True,True
34.0,7.1345091057313255,7.29,22.007760428539715,22.98,True,True
34.0,7.492749831740202,6.98,22.23623004059112,22.08,True,True
34.0,6.437309036165642,7.33,22.43063347967817,22.28,True,True
34.0,7.777056438609185,7.1,22.871685800763384,22.46,True,True
34.0,7.9406774501115525,7.1,22.685113727842126,22.88,True,True
34.0,7.6744227096978275,7.78,23.002875459123302,22.76,True,True
34.0,7.306096510192205,7.85,22.620175766057702,23.06,True,True
34.0,7.473050893694898,7.44,23.320985175744383,22.69,True,True
34.0,7.091196371170666,7.49,23.21948121009192,23.34,True,True
34.0,6.980898863461594,7.3,22.828251313332096,23.27,True,True
34.0,6.964181702626967,7.0,23.373539144834712,22.88,True,True
34.0,8.6036489111554,7.09,22.834180395477002,23.38,True,True
34.0,6.34625863177137,7.54,22.230371189214864,22.91,True,True
34.0,7.650416829854256,7.53,23.728371183381753,22.32,True,True
34.0,6.748786962245674,7.18,23.395163880726717,23.68,True,True
34.0,7.0694349872980595,7.22,21.745651015042025,23.45,True,True
34.0,7.564900626169126,6.64,23.082928962642196,21.84,True,True
34.0,7.448597180630775,7.5,23.486029979187272,23.07,True,True
34.0,7.45032597932739,7.57,22.648112035494485,23.52,True,True
34.0,6.57163830264695,7.3,23.26758328926008,22.73,True,True
34.0,7.62010610224152,7.2,23.118342242207802,23.28,True,True
34.0,8.037643299586605,7.01,23.690211239564746,23.15,True,True
34.0,7.861778470839219,7.86,23.756122455199485,23.72,True,True
34.0,7.512547573239474,7.93,23.748167502411224,23.82,True,True
34.0,7.610454377856941,7.69,24.113155466618384,23.8,True,True
34.0,7.0990230221949,7.6,22.757791398109163,24.14,True,True
34.0,7.135664065180114,7.17,23.998631340193647,22.86,True,True
34.0,7.2262139818164455,7.34,23.92737404482744,23.97,True,True
34.0,7.316738475615971,7.18,22.771148787158193,23.96,True,True
34.0,7.925549508507376,7.08,23.028412767710034,22.86,True,True
34.0,6.581914445619484,7.6,23.563724312550907,23.07,True,True
34.0,6.79153615875226,7.45,23.247231298121847,23.59,True,True
34.0,7.4622664953364914,6.67,23.55045391632765,23.27,True,True
34.0,8.21561695071012,7.14,24.119727553892247,23.56,True,True
34.0,7.176135342328823,7.84,23.206590373519397,24.14,True,True
34.0,7.209631115919393,7.6,23.082417545868704,23.31,True,True
34.0,7.600172194077565,7.18,22.717279989870516,23.12,True,True
34.0,7.471895295728883,7.31,24.11207217774953,22.78,True,True
34.0,6.995760179961216,7.76,23.534612756980295,24.1,True,True
34.0,7.12249675075351,7.18,23.41575510036003,23.59,True,True
34.0,7.37224515207001,7.05,23.618679610855917,23.45,True,True
34.0,7.0127523026404806,7.27,23.901008869784746,23.64,True,True
34.0,7.536485702506945,7.28,23.8826031653536,23.92,True,True
34.0,6.720942320410808,7.24,23.75440752118941,23.91,True,True
34.0,7.84967158272147,7.19,25.08378324348603,23.79,True,True
34.0,7.015044095180947,7.43,24.431116889807694,25.03,True,True
34.0,7.458489347922983,7.38,24.47232417862068,24.49,True,True
34.0,8.112425755320418,7.22,24.837719187745996,24.49,True,True
34.0,7.3657118993944986,7.77,23.10326926097996,24.86,True,True
34.0,8.304021121493472,7.48,23.00892400470363,23.23,True,True
34.0,6.978533807463351,7.71,24.272387228948073,23.07,True,True
34.0,7.1954434400066045,7.93,23.91102484928639,24.28,True,True
34.0,7.696811369870237,7.03,24.447837799288312,23.94,True,True
34.0,7.420946561825506,7.49,24.51874304079374,24.45,True,True
34.0,6.653385051246153,7.58,24.342348899017747,24.55,True,True
34.0,7.029262448624038,7.09,24.435481247291314,24.37,True,True
34.0,6.373107505185029,6.87,24.88416714879021,24.43,True,True
34.0,7.367724488640641,6.88,24.954535428520174,24.86,True,True
34.0,7.684877540948617,6.85,24.05868959591539,24.93,True,True
34.0,6.5858401315492054,7.34,24.936509898248705,24.13,True,True
34.0,7.137664249214713,7.38,24.691845739898163,24.92,True,True
34.0,6.843116637569295,6.83,24.661318972505956,24.69,True,True
34.0,7.5838403739031675,7.04,24.87346509133861,24.67,True,True
