sp,h1_switch,h2_switch,h1_sensor,h2_sensor,q,h1_serial,h2_serial
18.8644,True,True,5.002265614280954,11.48638982053953,34.0,5.85,11.73
18.8644,True,True,5.3869804851777365,12.393452637654566,34.0,5.25,11.65
18.8644,True,True,5.653675218168291,11.627878080315345,34.0,5.51,12.48
18.8644,True,True,5.996734892984012,11.969978889788347,33.17,5.5,11.82
18.8644,True,True,6.204863875943405,12.14957080523527,34.0,5.96,12.1
18.8644,True,True,5.6407025113875715,12.657878662780973,33.95,6.19,12.29
18.8644,True,True,5.8612078199043935,11.818720936884075,33.76,6.13,12.77
18.8644,True,True,6.291791131073257,13.327692208599867,33.14,5.69,12.01
18.8644,True,True,6.591457194549724,12.975794603823191,34.0,6.37,13.38
18.8644,True,True,5.617032982297494,13.098224483934866,32.42,6.36,13.13
18.8644,True,True,7.631461451839984,13.279301508975605,32.87,6.23,13.2
18.8644,True,True,6.821182679796293,13.132484370162377,32.85,6.51,13.4
18.8644,True,True,7.306671020352082,13.016281977023628,32.64,7.18,13.28
18.8644,True,True,6.330576202541797,13.80922749968792,32.9,6.95,13.16
18.8644,True,True,6.694332782309741,12.737378600598635,33.16,7.0,13.9
18.8644,True,True,6.418382187080097,13.13770533668195,32.14,6.29,12.92
18.8644,True,True,6.22800944553011,13.020311636741809,33.69,6.65,13.23
18.8644,True,True,6.810464783601081,13.666411893868323,33.3,6.35,13.15
18.8644,True,True,6.631837312615892,13.942674477769666,33.51,6.61,13.76
18.8644,True,True,6.506938483612095,14.274075194637552,32.69,6.76,14.05
18.8644,True,True,6.384250763949193,14.240046250232687,32.31,6.62,14.37
18.8644,True,True,6.625816070703757,14.414406757421519,31.91,6.44,14.34
18.8644,True,True,6.6672514802917275,14.241278441947614,32.02,6.5,14.5
18.8644,True,True,5.80624500684217,14.80199058341604,31.85,6.58,14.35
18.8644,True,True,6.288356856210603,15.01333648719133,32.14,6.41,14.86
18.8644,True,True,6.811837746534957,14.60998216071396,31.44,6.07,15.09
18.8644,True,True,7.16144855518857,15.816645872022544,31.16,6.4,14.72
